File,URL,TITLE,LOCATION,PRICE PER MONTH,AREA IN SQ METRE,NUMBER OF ROOMS,INTERIOR,DESCRIPTION,OFFERED SINCE,AVAILABILITY,SPECIFICATION,UPKEEP STATUS,VOLUME,TYPE,CONSTRUCTION TYPE,CONSTRUCTION YEAR,LOCATION TYPE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,NUMBER OF FLOORS,DETAILS OF BALCONY,DETAILS OF GARDEN,DETAILS OF STORAGE,DESCRIPTION OF STORAGE,GARAGE,CONTACT DETAILS,TIMESTAMP
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/221add0f/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1750,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,02-12-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/221add0f/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:45:56
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/b667a79c/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1850,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,01-09-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/b667a79c/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:45:57
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/38a3db22/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1750,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,04-01-2023,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/38a3db22/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:45:58
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/da67641e/witte-de-withstraat,Studio Witte de Withstraat,3012 BT (Cool),1450,50,1,Furnished,"Fully furnished hotel studios ranging from 40m2 to 50m2 with a view of the Witte de With street. Located in the center of Rotterdam. In the bustling Witte de Withstraat you will find art, culture, theater, cinema, the pub and fine dining. Anything less step away from the door. Both metro station Leuvenhaven and Train Fair are within walking distance.  ",3+ months,01-10-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/da67641e/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:45:59
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/9c11d93e/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1750,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,02-12-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/9c11d93e/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:46:07
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/2ad55cc5/witte-de-withstraat,Studio Witte de Withstraat,3012 BT (Cool),1450,45,1,Furnished,"Fully furnished hotel studios ranging from 40m2 to 50m2 with a view of the Witte de With street. Located in the center of Rotterdam. In the bustling Witte de Withstraat you will find art, culture, theater, cinema, the pub and fine dining. Anything less step away from the door. Both metro station Leuvenhaven and Train Fair are within walking distance.  ",3+ months,31-01-2023,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/2ad55cc5/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:46:09
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/64a9653b/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1750,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,01-10-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/64a9653b/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:46:11
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/45022307/witte-de-withstraat,Studio Witte de Withstraat,3012 BN (Cool),1850,40,1,Furnished,"The Studio is located on the Witte de Withstraat, Rotterdam’s latest hot spot in the city centre. This quarter is a typical post-war Rotterdam neighborhood, with a lot going on. You’ll find specialist boutiques, hip bars and cafes, and the latest restaurants. The charming area of Blaak is also nearby, famous for the Markthal.   ",3+ months,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/45022307/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:46:14
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/db2e1694/witte-de-withstraat,Studio Witte de Withstraat,3012 BN (Cool),1800,40,1,Furnished,"The Studio is located on the Witte de Withstraat, Rotterdam’s latest hot spot in the city centre. This quarter is a typical post-war Rotterdam neighborhood, with a lot going on. You’ll find specialist boutiques, hip bars and cafes, and the latest restaurants. The charming area of Blaak is also nearby, famous for the Markthal.    ",3+ months,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/db2e1694/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:46:15
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/b9ba22ef/witte-de-withstraat,Studio Witte de Withstraat,3012 BN (Cool),1800,45,1,Furnished,"The Studio is located on the Witte de Withstraat, Rotterdam’s latest hot spot in the city centre. This quarter is a typical post-war Rotterdam neighborhood, with a lot going on. You’ll find specialist boutiques, hip bars and cafes, and the latest restaurants. The charming area of Blaak is also nearby, famous for the Markthal.   ",3+ months,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/b9ba22ef/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:46:16
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/ead6be93/witte-de-withstraat,Studio Witte de Withstraat,3012 BT (Cool),1450,50,1,Furnished,"Fully furnished hotel studios ranging from 40m2 to 50m2 with a view of the Witte de With street. Located in the center of Rotterdam. In the bustling Witte de Withstraat you will find art, culture, theater, cinema, the pub and fine dining. Anything less step away from the door. Both metro station Leuvenhaven and Train Fair are within walking distance.  ",3+ months,01-10-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/ead6be93/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:46:20
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/7e4100b2/witte-de-withstraat,Studio Witte de Withstraat,3012 BN (Cool),1750,40,1,Furnished,"The Studio is located on the Witte de Withstraat, Rotterdam’s latest hot spot in the city centre. This quarter is a typical post-war Rotterdam neighborhood, with a lot going on. You’ll find specialist boutiques, hip bars and cafes, and the latest restaurants. The charming area of Blaak is also nearby, famous for the Markthal.    ",3+ months,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/7e4100b2/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:46:22
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/e4e3178d/witte-de-withstraat,Studio Witte de Withstraat,3012 BT (Cool),1450,45,1,Furnished,"Fully furnished hotel studios ranging from 40m2 to 50m2 with a view of the Witte de With street. Located in the center of Rotterdam. In the bustling Witte de Withstraat you will find art, culture, theater, cinema, the pub and fine dining. Anything less step away from the door. Both metro station Leuvenhaven and Train Fair are within walking distance.  ",3+ months,31-10-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/e4e3178d/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:46:23
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/eafdf97e/witte-de-withstraat,Studio Witte de Withstraat,3012 BT (Cool),1450,50,1,Furnished,"Fully furnished hotel studios ranging from 40m2 to 50m2 with a view of the Witte de With street. Located in the center of Rotterdam. In the bustling Witte de Withstraat you will find art, culture, theater, cinema, the pub and fine dining. Anything less step away from the door. Both metro station Leuvenhaven and Train Fair are within walking distance.  ",3+ months,01-10-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/eafdf97e/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:46:24
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/792e1532/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1750,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,03-10-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/792e1532/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:46:25
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/c2454967/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1850,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,31-12-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/c2454967/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:46:26
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/81d2e69c/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1750,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,22-12-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/81d2e69c/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:46:28
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/2ae70ee8/eendrachtsweg,Studio Eendrachtsweg,3012 LG (Cool),1750,50,1,Furnished,"Fully furnished and renovated Hotel Studios ranging from 40m2 to 50m2 with views over the Eendrachtsweg. Located in the center of Rotterdam. In and around the bustling street you will find art, culture, theater, film, the pub and good food. Everything at a step away from the front door. Both Leuvenhaven metro station and the Beurs train station are within walking distance.   ",3+ months,01-10-2022,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/2ae70ee8/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:46:29
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/b955181c/witte-de-withstraat,Studio Witte de Withstraat,3012 BN (Cool),1400,40,1,Furnished,"The Studio is located on the Witte de Withstraat, Rotterdam’s latest hot spot in the city centre. This quarter is a typical post-war Rotterdam neighborhood, with a lot going on. You’ll find specialist boutiques, hip bars and cafes, and the latest restaurants. The charming area of Blaak is also nearby, famous for the Markthal.   ",3+ months,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/b955181c/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:46:30
rotterdam_1.csv,https://www.pararius.com/studio-for-rent/rotterdam/e3b13f7f/witte-de-withstraat,Studio Witte de Withstraat,3012 BN (Cool),1800,40,1,Furnished,"The Studio is located on the Witte de Withstraat, Rotterdam’s latest hot spot in the city centre. This quarter is a typical post-war Rotterdam neighborhood, with a lot going on. You’ll find specialist boutiques, hip bars and cafes, and the latest restaurants. The charming area of Blaak is also nearby, famous for the Markthal.    ",3+ months,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Studio,Existing building,1872,Location type is not available,1,Number of bathrooms is not available,Number of floors is not available,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/e3b13f7f/rotterdam/rotterdam-apartments/request-details,2022-08-03 17:46:31
rotterdam_3.csv,https://www.pararius.com/house-for-rent/rotterdam/4398af53/jacobusstraat,House Jacobusstraat 183,3012 JM (Cool),1349,77,3,Shell,Beautiful house with balcony for rent in Rotterdam with 2 bedrooms in the Cool district.,05-08-2022,consultation,Specifics are not available,Upkeep is not available,Volume is not available,House,Existing building,1873,Location type is not available,2,Number of bathrooms is not available,Number of floors is not available,Present,Not present,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/4398af53/rotterdam/woonstad-rotterdam/request-details,05-08-2022 18:47
rotterdam_3.csv,https://www.pararius.com/house-for-rent/rotterdam/a36cb340/mauritsweg,House Mauritsweg 57 D,3012 JX (Cool),1469,92,3,Shell,Lovely house with balcony for rent in Rotterdam with 2 bedrooms in the Cool district.,05-08-2022,consultation,Specifics are not available,Upkeep is not available,Volume is not available,House,Existing building,1873,Location type is not available,2,Number of bathrooms is not available,Number of floors is not available,Present,Not present,Details of storage is not available,Details of description of the storage is not available,No,https://www.pararius.com/contact/a36cb340/rotterdam/woonstad-rotterdam/request-details,05-08-2022 18:47
rotterdam_10.csv,https://www.pararius.com/apartment-for-rent/rotterdam/1a30b1d7/boezemsingel,Apartment Boezemsingel,3034 EA (Oud Crooswijk),1325,60,3,Upholstered,UNIQUE OPPORTUNITY!,11-08-2022,01-10-2022,Specifics are not available,Upkeep is not available,162,Apartment,Existing building,1876,Location type is not available,2,1,2,Not present,Details of garden is not available,Details of storage is not available,Details of description of the storage is not available,Details of garage is not available,https://www.pararius.com/contact/1a30b1d7/rotterdam/rent-an-apartment-rotterdam/request-details,2022-08-12 22:27:25
rotterdam_1.csv,https://www.pararius.com/apartment-for-rent/rotterdam/663ee13e/noordmolenstraat,Apartment Noordmolenstraat 17 A,3035 RD (Oude Noorden),1545,52,3,Upholstered,Available immediately!   ,3 weeks,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1877,Location type is not available,2,1,Number of floors is not available,Not present,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/663ee13e/rotterdam/irent020/request-details,2022-08-03 17:40:54
rotterdam_1.csv,https://www.pararius.com/apartment-for-rent/rotterdam/acb3db3d/noordmolendwarsstraat,Apartment Noordmolendwarsstraat 43 A,3035 WD (Oude Noorden),1600,47,3,Upholstered,Available immediately!   ,4 weeks,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1877,Location type is not available,2,1,Number of floors is not available,Not present,Details of garden is not available,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/acb3db3d/rotterdam/irent020/request-details,2022-08-03 17:41:26
rotterdam_20.csv,https://www.pararius.com/apartment-for-rent/rotterdam/c294738c/noordmolendwarsstraat,Apartment Noordmolendwarsstraat 43 C,3035 WD (Oude Noorden),1345,25,2,Upholstered,"Completely renovated apartment of approximately 25m2. This beautiful apartment located on the second floor has 2 similar bedrooms and a cozy living room along with an open kitchen. The apartment has been recently renovated. The luxury fitted kitchen & sanitary facilities are finished to a high standard. The property is centrally located in the old north with a nice shopping street and cozy pubs in the area. This property is suitable for colleagues, students, working sharers or family. Guarantee may be applied!   ",22-08-2022,Not available to book,Specifics are not available,Upkeep is not available,Volume is not available,Apartment,Existing building,1877,Location type is not available,1,1,Number of floors is not available,Not present,Not present,Not present,Details of description of the storage is not available,No,https://www.pararius.com/contact/c294738c/rotterdam/irent020/request-details,2022-08-22 20:15:03
rotterdam_17.csv,https://www.pararius.com/apartment-for-rent/rotterdam/93992a00/handelsplein,Apartment Handelsplein 38,3071 PR (Kop van Zuid - Entrepot),2000,160,4,Interior is not available,Apartment with garden for rent in Rotterdam with 3 bedrooms in the Kop van Zuid - Entrepot district.,19-08-2022,01-10-2022,Monumental building,Good,410,Apartment,Existing building,1879,Location type is not available,3,1,3,Not present,Present (35 m²),Present,Inpandig,Yes,https://www.pararius.com/contact/93992a00/rotterdam/stad-en-land-makelaars/request-details,2022-08-21 00:29:52
